ФИО,Год,Специальность,Средний балл ЦЭ/ЦТ,Средний балл аттестата,Средний балл при поступлении,Адрес,Телефон,Форма обучения,Математика,Физика,Химия,История,Обществознание
Лаврентьев Георгий Ануфриевич,2021,Биология,60.2,8.2,34.2,"д. Новомичуринск, ул. Заводская, д. 429, 863177",86198455750,Вечерняя,79,43,41,45,93
Белов Кондратий Харлампьевич,2024,Математика,73.2,9.8,41.5,"к. Бологое, ш. Гончарова, д. 165, 333444",81056297974,Очная,93,68,57,65,83
Дмитриева Иванна Оскаровна,2023,Биология,67.8,6.4,37.1,"г. Обнинск, пер. Звездный, д. 8/9 стр. 7, 404420",+7 (248) 492-11-37,Заочная,75,53,70,87,54
Николаева Олимпиада Аркадьевна,2025,История Беларуси,79.2,7.6,43.4,"ст. Губкинский, бул. Чапаева, д. 9, 090898",8 396 392 5278,Вечерняя,62,99,96,79,60
Майя Георгиевна Селиверстова,2024,Биология,72.6,9.9,41.2,"ст. Кежма, наб. Островского, д. 3/2 стр. 7, 386704",+7 (930) 071-15-89,Вечерняя,57,86,92,63,65
Симонова Василиса Вячеславовна,2022,История Беларуси,86.0,9.2,47.6,"с. Курск, пр. Заозерный, д. 882 стр. 6/9, 142383",84472173223,Заочная,99,99,84,80,68
Юрий Геннадиевич Дьячков,2021,История Беларуси,52.2,7.6,29.9,"п. Северодвинск, пр. Депутатский, д. 7/3 стр. 4/8, 366719",8 792 714 2658,Заочная,40,64,46,48,63
Галина Анатольевна Зуева,2021,Физика,61.2,8.8,35.0,"п. Алагир, бул. Сиреневый, д. 1/3 стр. 787, 342034",+7 462 147 92 26,Заочная,47,63,50,90,56
Игорь Бенедиктович Лазарев,2022,Химия,73.8,7.4,40.6,"клх Верхоянск, ул. Киевская, д. 62 стр. 65, 830341",+7 303 030 5868,Вечерняя,74,72,98,44,81
Кулагин Геннадий Валерьевич,2024,История Беларуси,57.6,7.8,32.7,"к. Канск, ш. Краснознаменное, д. 25, 697982",+7 081 745 25 85,Заочная,80,67,46,48,47
Якушева Юлия Ефимовна,2024,Физика,75.6,8.7,42.2,"клх Нефтекамск, наб. Толбухина, д. 16, 930846",+73246372276,Вечерняя,72,87,94,62,63
Пономарев Твердислав Елисеевич,2025,Физика,72.6,7.9,40.2,"п. Усть-Илимск, алл. Красная, д. 6 к. 87, 335158",+77164219671,Вечерняя,83,79,61,66,74
Боброва Евгения Филипповна,2022,История Беларуси,59.4,8.9,34.2,"к. Тверь, алл. 40 лет Победы, д. 2, 720588",+77829286131,Заочная,76,86,53,42,40
Стоян Жоресович Блохин,2022,Химия,67.8,8.8,38.3,"с. Грозный, пр. Горный, д. 701 стр. 8, 764941",8 314 129 74 05,Очная,94,53,78,66,48
Матвеев Петр Харлампьевич,2023,Математика,77.4,6.1,41.8,"п. Североморск, алл. Победа, д. 93, 112000",+7 (399) 243-07-92,Заочная,65,81,99,52,90
Гуляева Феврония Анатольевна,2022,Математика,74.2,9.6,41.9,"ст. Дудинка, ул. Терешковой, д. 35 стр. 4/6, 020493",+7 618 030 23 81,Заочная,78,88,91,71,43
Ермаков Якуб Иосифович,2024,Химия,72.0,6.8,39.4,"п. Киржач, пр. Восточный, д. 8 стр. 9/5, 244180",+7 (528) 762-13-49,Очная,62,78,84,54,82
Михайлова Вера Антоновна,2021,Математика,71.4,6.6,39.0,"к. Иркутск, наб. Светлая, д. 6/1 к. 5/9, 917836",+77245135949,Очная,52,71,46,98,90
Мамонтов Нестор Данилович,2024,История Беларуси,78.8,9.5,44.2,"д. Аргаяш, ш. Западное, д. 7, 121249",+75722157361,Заочная,41,81,84,96,92
г-н Потапов Терентий Аверьянович,2021,Математика,72.2,9.5,40.8,"с. Смирных, ш. Седова, д. 9/9, 023884",+7 (858) 855-40-66,Заочная,67,83,83,59,69
Петр Борисович Капустин,2021,История Беларуси,80.0,9.6,44.8,"с. Биробиджан, пер. Терешковой, д. 4/1 стр. 6/1, 063263",8 776 605 9034,Заочная,97,94,67,64,78
Стрелков Тихон Абрамович,2022,Биология,77.8,7.4,42.6,"клх Кижи, ш. Орджоникидзе, д. 3 стр. 7, 550804",8 857 408 22 33,Очная,40,96,66,96,91
Кононова Нина Николаевна,2021,Физика,55.6,7.7,31.6,"ст. Нижний Тагил, ш. Большое, д. 19 стр. 42, 689578",8 743 679 2627,Заочная,42,78,45,47,66
Лукьян Демидович Горбунов,2021,Химия,80.4,7.0,43.7,"г. Кондопога, пер. 40 лет Октября, д. 82 стр. 485, 817668",8 (764) 300-4443,Заочная,76,72,90,81,83
Никандр Герасимович Фомин,2025,Биология,79.2,8.8,44.0,"с. Североморск, наб. Слободская, д. 2, 066252",8 (959) 828-05-75,Очная,98,93,71,71,63
Любосмысл Герасимович Карпов,2024,Физика,83.0,7.0,45.0,"ст. Оха, алл. Космонавтов, д. 8 стр. 3, 236354",8 161 848 0638,Заочная,88,88,97,91,51
Аристарх Ануфриевич Королев,2023,История Беларуси,67.0,10.0,38.5,"г. Шелехов, пр. Красный, д. 954 стр. 31, 298279",8 (189) 579-07-75,Очная,41,42,88,76,88
Русакова Варвара Николаевна,2023,Химия,67.0,6.2,36.6,"п. Юрьев-Польский, ул. Одесская, д. 9 к. 4/3, 240268",+7 (774) 178-45-35,Заочная,98,88,41,41,67
Лидия Яковлевна Тимофеева,2023,Математика,63.4,8.7,36.0,"к. Неплюевка, бул. Коллективный, д. 23 стр. 1/1, 538468",8 005 064 7235,Заочная,76,71,72,40,58
Тихонова Татьяна Олеговна,2022,История Беларуси,71.2,7.0,39.1,"д. Хатанга, ул. Ватутина, д. 1/6, 829487",+7 (098) 689-0264,Заочная,92,83,65,71,45
Нонна Михайловна Беспалова,2022,История Беларуси,76.0,7.0,41.5,"ст. Тимашевск, наб. Королева, д. 515 к. 9/3, 552503",+7 (938) 082-9449,Вечерняя,43,94,50,95,98
Ян Фокич Мухин,2025,Физика,69.6,8.5,39.0,"г. Енисейск, пер. Новый, д. 560, 696213",81427861542,Вечерняя,77,63,44,91,73
Калинин Владимир Вилорович,2021,История Беларуси,62.4,7.3,34.8,"к. Бодайбо, бул. Ермака, д. 616 к. 62, 084582",8 675 649 82 78,Вечерняя,50,87,55,72,48
Любовь Владимировна Андреева,2024,Химия,53.8,7.3,30.6,"с. Усть-Катав, наб. Горная, д. 4 к. 33, 627154",+7 123 146 6414,Заочная,45,55,68,42,59
Богданов Емельян Устинович,2022,Физика,59.6,7.4,33.5,"д. Бреды, алл. Ручейная, д. 504 стр. 584, 418346",+7 (886) 093-91-88,Очная,75,58,65,42,58
Семен Трифонович Белов,2022,Физика,73.6,7.5,40.6,"клх Ессентуки, пр. Геологический, д. 537 стр. 8/4, 363230",+7 (401) 207-38-98,Заочная,46,91,80,72,79
Логинов Мокей Гурьевич,2025,Математика,58.6,8.9,33.8,"д. Черняховск, бул. Ильича, д. 56 стр. 967, 671780",+71507571947,Заочная,57,79,40,50,67
Зайцева Евдокия Кузьминична,2022,Физика,74.2,7.0,40.6,"п. Красная Поляна, алл. Азина, д. 4/3 к. 5/7, 185244",83464455636,Очная,89,62,70,69,81
Волкова Феврония Феликсовна,2021,Физика,80.4,8.1,44.2,"п. Ахтубинск, наб. Гаражная, д. 4/5 стр. 1/3, 363858",8 950 158 9802,Очная,99,55,65,87,96
Прасковья Антоновна Шубина,2023,Биология,61.4,8.2,34.8,"д. Нефтегорск (Самар.), ш. Специалистов, д. 3, 237354",8 153 579 6526,Заочная,88,41,40,87,51
Горбунова Таисия Тимофеевна,2024,Физика,78.2,7.4,42.8,"ст. Клин, ш. Тенистое, д. 388 стр. 8/5, 786152",+79670126633,Заочная,71,98,94,48,80
Лазарь Якубович Михайлов,2021,Математика,61.2,7.6,34.4,"д. Александров, ул. Шишкина, д. 5/5, 420135",8 161 546 38 91,Вечерняя,87,55,42,59,63
Любим Германович Соболев,2021,Физика,72.8,6.6,39.7,"с. Нижнекамск, алл. Молодежная, д. 202, 248096",+7 137 547 6561,Очная,72,63,91,50,88
Егорова Иванна Михайловна,2022,Химия,75.2,6.4,40.8,"к. Нижний Новгород, пер. Свердлова, д. 4/9, 698867",82297816039,Очная,77,79,59,74,87
Елисеев Станислав Ильич,2023,Математика,69.6,8.2,38.9,"с. Находка, бул. Деповский, д. 7 стр. 69, 192720",8 455 458 03 48,Очная,74,64,68,57,85
Любовь Леонидовна Молчанова,2025,Химия,75.4,8.8,42.1,"ст. Краснокамск, наб. Челюскинцев, д. 5/2 стр. 95, 880478",8 662 735 98 86,Заочная,93,74,55,80,75
Измаил Егорович Селиверстов,2025,Биология,66.2,7.5,36.8,"к. Грозный, наб. Центральная, д. 3 стр. 811, 703415",+7 (223) 171-14-66,Заочная,72,53,60,87,59
Петр Аверьянович Белов,2025,Биология,52.6,8.2,30.4,"п. Шамары, наб. Попова, д. 3 стр. 5, 064510",+7 033 589 6274,Вечерняя,47,46,42,56,72
Абрамова Наина Игоревна,2022,Химия,80.8,7.0,43.9,"к. Камень-на-Оби, пер. Сосновый, д. 351 стр. 90, 862900",+7 (394) 269-73-26,Вечерняя,98,90,61,94,61
Петр Елизарович Смирнов,2022,Биология,84.2,9.6,46.9,"клх Барнаул, бул. Тельмана, д. 9 к. 361, 925086",8 490 049 2882,Очная,77,77,84,90,93
Фокина Ия Анатольевна,2023,История Беларуси,68.0,8.3,38.2,"к. Игнашино, ул. Горняцкая, д. 5 к. 51, 704429",8 354 033 60 67,Заочная,66,73,60,69,72
Амос Ермилович Соловьев,2022,Математика,72.0,8.3,40.2,"г. Шахты, бул. Магистральный, д. 2 стр. 8, 020776",8 896 876 07 70,Вечерняя,72,44,99,87,58
Яковлев Олимпий Гордеевич,2024,Биология,72.6,9.8,41.2,"ст. Набережные Челны, алл. Братская, д. 86, 883319",8 (236) 201-63-97,Очная,88,56,83,67,69
Данила Харлампович Сысоев,2023,Биология,78.0,9.8,43.9,"п. Ялуторовск, пер. Технический, д. 1/4 к. 6/7, 876133",8 504 544 10 89,Очная,92,45,74,99,80
Анна Рубеновна Савельева,2025,Химия,80.6,9.9,45.2,"к. Кырен, наб. Леонова, д. 7 к. 5, 307984",+7 484 362 9490,Очная,68,88,85,92,70
Елисеева Анна Вячеславовна,2021,Математика,71.2,7.1,39.2,"п. Чусовой, наб. Аэродромная, д. 2/8 к. 6, 780808",+7 346 609 68 70,Заочная,72,91,60,71,62
Савин Гедеон Ярославович,2025,Физика,62.8,9.4,36.1,"с. Мончегорск, наб. Омская, д. 5 стр. 1/2, 583677",+7 329 841 3843,Очная,42,57,64,81,70
Голубев Дементий Гавриилович,2022,Физика,71.6,8.5,40.0,"к. Тотьма, алл. Приозерная, д. 4/2, 064673",8 419 912 93 50,Вечерняя,42,79,85,63,89
Мефодий Харламович Зыков,2023,История Беларуси,62.2,9.5,35.8,"клх Джейрах, ш. Гайдара, д. 1 к. 772, 016563",+7 (286) 536-69-37,Заочная,61,62,41,66,81
Кондрат Архипович Зуев,2021,Физика,67.4,8.8,38.1,"с. Карабудахкент, пр. Рылеева, д. 1/3, 242722",+7 (953) 298-28-46,Заочная,56,79,72,48,82
Уваров Болеслав Дмитриевич,2021,Физика,77.2,9.2,43.2,"г. Миасс, пр. Смирнова, д. 280, 724641",+7 314 695 20 13,Вечерняя,78,68,81,94,65
Измаил Дорофеевич Тетерин,2022,Физика,75.0,6.0,40.5,"д. Верхоянск, ш. Кузнецкое, д. 21 к. 82, 767852",8 (836) 540-26-14,Очная,64,63,52,99,97
Любовь Федоровна Веселова,2024,Математика,61.0,8.8,34.9,"д. Бреды, пр. 9 мая, д. 77, 996564",8 (888) 859-2860,Вечерняя,75,84,59,40,47
Медведева Алевтина Юрьевна,2021,Физика,62.2,6.1,34.2,"с. Кущевская, пер. Кооперативный, д. 85 стр. 1/5, 726410",+7 (368) 214-54-68,Вечерняя,55,53,51,90,62
Носов Федосий Филиппович,2024,Математика,61.6,7.3,34.4,"д. Александров, пер. Фадеева, д. 98 стр. 3, 051989",+76443207216,Вечерняя,73,41,71,62,61
Жукова Нонна Натановна,2024,Химия,82.6,7.0,44.8,"к. Рославль, алл. Ушакова, д. 1/6, 394725",+7 167 149 4778,Очная,97,61,97,97,61
Онуфрий Елисеевич Гущин,2021,Физика,71.0,6.5,38.8,"к. Ирбит, пр. 50 лет Победы, д. 3/5, 028057",8 (742) 871-71-68,Очная,81,45,54,93,82
Онуфрий Федосьевич Николаев,2024,Математика,78.6,9.9,44.2,"к. Кемерово, пр. 1 Мая, д. 110, 022409",8 874 073 8958,Вечерняя,72,47,92,99,83
Ярослав Дмитриевич Симонов,2024,Математика,64.2,8.1,36.2,"с. Витим, пер. Томский, д. 904 стр. 149, 023767",+7 (394) 309-12-72,Вечерняя,78,43,45,84,71
Цветкова Майя Ильинична,2025,Математика,84.8,6.5,45.6,"к. Владимир, пр. Производственный, д. 894 к. 533, 979568",81705599012,Очная,86,74,94,79,91
Ратмир Фадеевич Фокин,2025,Биология,79.2,9.2,44.2,"г. Шаховская, пер. Карла Либкнехта, д. 1, 857028",8 683 410 9148,Очная,89,99,81,69,58
Боброва Александра Никифоровна,2025,История Беларуси,76.2,6.1,41.2,"д. Армавир, наб. Авиационная, д. 931, 484222",+72441193622,Вечерняя,58,67,97,94,65
Бобров Андрей Юлианович,2021,Химия,69.0,6.2,37.6,"клх Ясный (Оренб.), ул. Верхняя, д. 108 к. 797, 223309",+7 116 300 5247,Очная,92,62,48,51,92
Панкратий Фролович Абрамов,2022,История Беларуси,73.4,8.2,40.8,"г. Кропоткин (Краснод.), алл. Озерная, д. 9 к. 9/9, 917436",8 (346) 526-73-38,Вечерняя,97,40,86,73,71
Таисия Юрьевна Аксенова,2024,Математика,81.2,8.6,44.9,"п. Армавир, ул. Красноярская, д. 9/8 к. 9, 643320",+7 480 135 37 18,Вечерняя,87,64,79,84,92
Пахомов Харитон Александрович,2023,Биология,69.0,6.2,37.6,"к. Дубна, бул. Красногвардейский, д. 6/5 к. 60, 884967",+7 455 352 7095,Очная,78,44,61,68,94
Фаина Болеславовна Николаева,2022,Химия,69.4,6.1,37.8,"г. Каменск-Уральский, пр. Горный, д. 833 стр. 75, 546822",+7 921 145 94 58,Вечерняя,65,55,90,76,61
Максимова Евдокия Вадимовна,2023,Биология,67.6,7.2,37.4,"к. Углегорск, ш. Шевченко, д. 84 стр. 405, 200422",80024528991,Вечерняя,53,67,44,86,88
Рыбаков Никодим Игнатович,2025,Физика,61.2,9.1,35.2,"к. Оймякон, ул. Томская, д. 2, 103992",+78564430139,Вечерняя,91,44,51,55,65
Ширяев Денис Артёмович,2024,История Беларуси,70.8,8.6,39.7,"клх Бомнак, пер. Высотный, д. 598 стр. 6/8, 017955",8 243 562 80 45,Заочная,60,78,75,72,69
Самойлова Ангелина Ильинична,2025,Математика,71.6,6.2,38.9,"г. Ребриха, наб. Энтузиастов, д. 5, 042327",8 944 727 33 16,Вечерняя,97,49,93,44,75
Влас Елисеевич Гуляев,2023,Математика,74.2,8.0,41.1,"ст. Бирск, наб. Портовая, д. 9, 680928",81131712977,Очная,70,49,97,58,97
Антонин Харитонович Савельев,2023,Химия,64.2,6.3,35.2,"г. Кулу, наб. Мостовая, д. 3 стр. 3/3, 041444",+7 215 184 31 56,Заочная,95,44,84,43,55
Лидия Владиславовна Гаврилова,2024,Физика,72.2,9.8,41.0,"к. Онега, наб. Кольцевая, д. 27, 117198",+7 (038) 117-81-39,Заочная,94,41,88,67,71
Антонина Андреевна Савина,2024,Математика,75.2,6.5,40.8,"клх Сергиев Посад, пр. Строительный, д. 2/3 к. 5/2, 406262",+7 688 545 7481,Очная,63,51,89,74,99
Мина Жоресович Самсонов,2025,Физика,68.2,9.3,38.8,"г. Северодвинск, ул. Розы Люксембург, д. 4 стр. 3/8, 979986",8 638 140 1059,Заочная,90,82,76,51,42
Дорофеева Людмила Валериевна,2022,Физика,72.2,6.3,39.2,"с. Кимры, бул. Лесхозный, д. 1/2 к. 1, 300049",8 (023) 002-99-12,Заочная,79,49,82,83,68
Блинова Екатерина Афанасьевна,2025,Биология,75.0,8.7,41.8,"с. Губкинский, наб. Краснознаменная, д. 603 стр. 347, 187319",+7 (037) 623-88-06,Вечерняя,70,85,41,90,89
Яковлев Силантий Эдуардович,2024,Химия,60.2,8.7,34.4,"с. Сальск, ш. Клубное, д. 763, 866016",+7 (905) 459-23-45,Очная,56,65,47,68,65
Кира Петровна Носова,2024,Математика,66.4,8.8,37.6,"д. Элиста, ул. Бажова, д. 876 стр. 493, 662727",+71863826596,Вечерняя,73,90,80,46,43
Василиса Владиславовна Ефремова,2022,Математика,77.2,8.9,43.1,"г. Джейрах, ш. Леонова, д. 5 к. 6/8, 362350",8 (766) 838-98-03,Заочная,89,84,50,68,95
Демид Александрович Соловьев,2024,Биология,71.2,9.0,40.1,"п. Сибай, пр. К.Маркса, д. 7/1, 007098",+7 439 440 55 12,Очная,60,96,75,49,76
Анна Аркадьевна Павлова,2023,Математика,79.6,7.5,43.6,"д. Нефтегорск (Самар.), ш. Менделеева, д. 94, 861985",+7 (524) 511-11-26,Очная,74,88,74,87,75
г-н Кондратьев Лонгин Феодосьевич,2023,Математика,69.0,9.4,39.2,"с. Верхний Тагил, пр. Гвардейский, д. 2/3 к. 3, 221176",+7 (085) 792-32-46,Заочная,78,71,63,62,71
Маркова Виктория Никифоровна,2025,Химия,72.0,7.0,39.5,"ст. Холмогоры, пер. Ильича, д. 6/6, 610435",8 970 580 4273,Заочная,88,94,52,62,64
Ширяева Антонина Геннадьевна,2023,Химия,71.8,7.6,39.7,"д. Верхний Уфалей, пер. Заовражный, д. 9/7 к. 7, 032991",8 (071) 684-9769,Очная,69,56,88,59,87
Ильина Анастасия Эльдаровна,2022,История Беларуси,74.2,6.0,40.1,"г. Дмитров, пер. Енисейский, д. 8 к. 9, 324429",+7 001 540 46 52,Вечерняя,52,98,58,88,75
Пров Фролович Михеев,2023,История Беларуси,56.6,9.8,33.2,"клх Выборг, ул. Надежды, д. 96 стр. 966, 340828",+7 (988) 571-7599,Заочная,80,58,51,48,46
Гришин Нестор Гаврилович,2024,Биология,80.4,6.3,43.4,"с. Тамбов, алл. Минина, д. 14 стр. 83, 950623",+7 (298) 231-16-40,Очная,70,91,58,97,86
Устин Авдеевич Лихачев,2024,Математика,64.8,8.7,36.8,"д. Курчатов, наб. Береговая, д. 919 стр. 29, 643058",8 (667) 731-5221,Заочная,44,74,51,64,91
Осипова Ия Валентиновна,2025,Химия,76.0,6.5,41.2,"д. Дзержинск, алл. Седова, д. 30, 141840",+7 587 907 4629,Вечерняя,75,92,62,55,96
Лыткина Елизавета Васильевна,2023,История Беларуси,80.2,8.2,44.2,"ст. Абинск, алл. Энтузиастов, д. 792, 601176",8 423 005 18 14,Вечерняя,92,81,97,78,53
Людмила Наумовна Воронова,2025,Химия,66.0,8.8,37.4,"ст. Светлогорск (Калин.), пер. Энтузиастов, д. 6 стр. 628, 719623",+7 (241) 957-01-77,Вечерняя,44,74,62,68,82
Панфилова Антонина Ефимовна,2025,Биология,66.2,8.5,37.4,"ст. Ишим, ш. Минское, д. 567 к. 26, 716310",+7 067 226 63 24,Вечерняя,86,51,48,49,97
Князев Мартын Игнатович,2024,Математика,67.8,6.3,37.0,"ст. Малоярославец, ш. Пограничное, д. 2/1 стр. 348, 717372",+7 408 331 5154,Вечерняя,77,46,85,52,79
Мартынов Исидор Вилорович,2023,Химия,67.4,8.1,37.8,"клх Красновишерск, ул. Запрудная, д. 12 стр. 77, 847925",88962725639,Заочная,89,66,97,41,44
Горбунова Юлия Мироновна,2025,Математика,70.6,7.5,39.0,"г. Аргаяш, пер. Надежды, д. 276 стр. 5/4, 750600",+7 434 054 70 57,Заочная,77,58,47,87,84
Филарет Федосеевич Третьяков,2025,Химия,68.2,9.0,38.6,"клх Курумкан, ул. Братская, д. 506 к. 3/4, 872897",+7 (383) 000-26-09,Очная,91,56,46,64,84
Селиван Валерьянович Жуков,2023,Математика,71.0,8.2,39.6,"п. Ноябрьск, алл. Путейская, д. 322, 276561",+7 946 766 1930,Заочная,45,99,70,58,83
Большакова Фёкла Робертовна,2024,История Беларуси,63.2,7.7,35.4,"с. Шатой, бул. Средний, д. 7, 814533",80415960558,Очная,66,49,65,58,78
Рогова Надежда Евгеньевна,2021,Математика,77.8,9.0,43.4,"д. Санкт-Петербург, ш. Коммунальное, д. 2/1 стр. 9, 057030",8 (026) 912-49-42,Заочная,84,52,89,67,97
Клавдия Георгиевна Логинова,2022,Биология,57.4,8.3,32.8,"г. Новокузнецк, алл. Невского, д. 783 к. 726, 237331",+7 818 993 31 81,Очная,47,80,78,40,42
Артемьев Артем Богданович,2021,Биология,88.4,8.1,48.2,"ст. Устюжна, пер. Братский, д. 50 к. 925, 342392",8 186 274 7036,Заочная,96,99,88,64,95
Вероника Харитоновна Костина,2021,Химия,80.2,9.9,45.1,"д. Урай, пер. Курский, д. 207 к. 4/1, 405775",8 349 706 41 22,Очная,92,45,97,83,84
Тамара Алексеевна Колесникова,2023,Биология,70.8,10.0,40.4,"п. Уссурийск, ул. Карьерная, д. 4 стр. 9/6, 750758",+75858434909,Вечерняя,86,60,55,93,60
Галактион Гордеевич Селезнев,2022,Химия,68.4,6.3,37.4,"с. Белогорск (Амур.), ш. Щетинкина, д. 517 к. 9, 818591",+7 (031) 993-40-53,Вечерняя,76,75,74,58,59
Акулина Яковлевна Ковалева,2023,Химия,72.2,7.8,40.0,"п. Балашов, пер. Локомотивный, д. 9/3 стр. 113, 900295",+7 273 133 3947,Вечерняя,86,80,88,53,54
Зоя Ниловна Егорова,2021,Физика,75.0,8.9,42.0,"к. Руза, пер. Пригородный, д. 22 стр. 5, 990231",8 158 944 41 43,Очная,92,93,93,42,55
Адам Игоревич Маслов,2025,История Беларуси,55.2,9.6,32.4,"ст. Пенза, ул. Чапаева, д. 9, 923619",+7 740 950 26 02,Очная,50,51,49,71,55
Авдей Зиновьевич Лобанов,2025,Химия,64.0,6.7,35.4,"п. Томпа, алл. Промышленная, д. 4/2, 111415",+78431972670,Вечерняя,51,63,67,92,47
Светлана Тарасовна Одинцова,2023,Биология,76.6,8.3,42.4,"г. Торжок, бул. Горняцкий, д. 3/6 к. 64, 932833",+74406862436,Вечерняя,75,65,47,97,99
Сысоев Аггей Геннадиевич,2022,Физика,72.8,8.8,40.8,"к. Красногорск (Моск.), пр. Снежный, д. 6 к. 934, 978229",8 (455) 980-2546,Очная,67,76,80,75,66
Одинцова Нинель Тарасовна,2021,Физика,65.4,8.4,36.9,"клх Курчатов, пер. Просвещения, д. 6/8 к. 49, 819412",8 (629) 743-0224,Вечерняя,56,48,72,92,59
Тарасов Леон Ярославович,2024,История Беларуси,73.2,9.3,41.2,"к. Бодайбо, бул. Осенний, д. 17 стр. 42, 200561",+77373781631,Заочная,87,68,52,85,74
Смирнов Лавр Евстигнеевич,2025,Биология,68.2,7.7,38.0,"г. Нальчик, бул. Веселый, д. 48, 788475",+7 (537) 781-9024,Очная,57,90,44,86,64
Панфил Ильич Муравьев,2024,Биология,87.0,6.7,46.8,"ст. Дмитров, алл. Карьерная, д. 3 к. 8/1, 079466",+7 066 757 02 51,Очная,95,69,89,98,84
Куликова Алевтина Захаровна,2024,Физика,71.4,9.9,40.7,"д. Буденновск, алл. Привольная, д. 316, 249859",82180385409,Очная,95,72,93,40,57
Осипов Исай Богданович,2025,Биология,65.4,9.9,37.7,"п. Ижевск, пер. Молодежный, д. 2/4 стр. 5/5, 200527",+75911507397,Очная,88,50,60,65,64
Шаров Софрон Абрамович,2024,Математика,70.2,6.1,38.2,"к. Елец, ул. Дальняя, д. 500, 876555",+7 (699) 901-1619,Очная,66,88,52,72,73
Наина Владиславовна Лукина,2024,Физика,65.2,8.8,37.0,"п. Борзя, бул. Пархоменко, д. 539 стр. 70, 561225",+7 (213) 832-95-79,Очная,40,60,87,94,45
Марфа Кузьминична Мишина,2024,Химия,55.4,8.2,31.8,"г. Москва, наб. Жукова, д. 6/1, 065891",+75822721828,Очная,44,70,44,77,42
Афанасий Ануфриевич Гордеев,2023,История Беларуси,68.4,7.5,38.0,"ст. Черусти, ул. 60 лет СССР, д. 8 стр. 3, 421013",8 109 138 9120,Вечерняя,76,92,76,49,49
Сергеева Майя Олеговна,2021,Биология,57.2,9.8,33.5,"п. Пышма, наб. Широкая, д. 4 стр. 5/9, 677700",8 279 473 4862,Вечерняя,60,53,48,85,40
Воронцова Ольга Павловна,2025,Физика,60.4,8.5,34.4,"п. Цимлянск, бул. Гаражный, д. 74 к. 11, 660543",+7 (857) 495-71-75,Вечерняя,52,43,40,88,79
Оксана Владиславовна Лазарева,2024,История Беларуси,65.4,8.0,36.7,"д. Архангельск, наб. Привольная, д. 3/4 к. 3, 726005",8 (996) 998-62-76,Вечерняя,67,70,47,78,65
Зиновьева Анна Игоревна,2022,Химия,83.0,9.4,46.2,"п. Старая Русса, пр. Краснознаменный, д. 578 к. 1/7, 772901",+7 124 020 5247,Вечерняя,93,93,42,98,89
Белова Анжела Святославовна,2024,История Беларуси,71.6,9.2,40.4,"д. Камышлов, ш. Щорса, д. 82 к. 6/3, 528776",8 082 695 6750,Заочная,93,83,44,69,69
Устинова Ольга Юрьевна,2025,Биология,69.0,9.1,39.0,"клх Петрозаводск, пр. Сплавный, д. 377 стр. 24, 435848",+7 447 340 2600,Вечерняя,56,87,86,62,54
